Date,Open,High,Low,Close,Volume,Adj Close
1/3/2017,51.990002,52.5,51.77,51.98,13295600,51.465664
1/4/2017,52.23,53.349998,52.09,53.07,13759500,52.544884
1/5/2017,52.919998,53.099998,52.439999,53.060001,8682200,52.534981
1/6/2017,53.09,54.09,52.98,53.91,12532400,53.376572
1/9/2017,53.959999,53.990002,53.220001,53.380001,8724800,52.85181
1/10/2017,53.549999,53.73,53.110001,53.110001,8041900,52.584484
1/11/2017,53.119999,53.290001,52.669998,52.689999,8208300,52.16864
1/12/2017,52.509998,52.689999,52.16,52.400002,7368700,51.881508
1/13/2017,52.59,52.93,52.23,52.919998,6694400,52.396366
1/17/2017,53.400002,53.950001,53.009998,53.650002,9885000,53.119141
1/18/2017,53.860001,53.889999,52.860001,53.27,6743100,52.742901
1/19/2017,53.84,53.939999,52.889999,52.93,8320600,52.406269
1/20/2017,53.220001,53.349998,52.900002,53.200001,7861000,52.673595
1/23/2017,53.02,53.259998,52.720001,53.240002,7025700,52.7132
1/24/2017,53.02,53.57,52.990002,53.450001,6321300,52.92112
1/25/2017,53.73,54.119999,53.689999,53.860001,6675000,53.327061
1/26/2017,54.110001,54.119999,53.360001,53.650002,6202000,53.119141
1/27/2017,53.68,54.080002,53.029999,53.189999,7362000,52.663692
1/30/2017,52.779999,53.220001,52.41,53.080002,9770800,52.554787
1/31/2017,51.68,52.900002,51.630001,52.900002,12342900,52.376564
2/1/2017,52.98,53.259998,52.610001,53.02,8810900,52.495373
2/2/2017,53,53.009998,52.48,52.799999,7874200,52.277554
2/3/2017,52.619999,52.810001,52.25,52.360001,8850400,51.841908
2/6/2017,52.09,52.799999,52.049999,52.799999,7355200,52.277554
2/7/2017,53.07,53.279999,52.669998,52.810001,6446900,52.287453
2/8/2017,52.740002,53.939999,52.700001,53.880001,9281100,53.346867
2/9/2017,53.880001,55.700001,53.880001,55.310001,14345400,54.762718
2/10/2017,55.630001,56.470001,55.630001,56.220001,14973400,55.663712
2/13/2017,56.169998,56.34,55.75,56.09,7679800,55.535
2/14/2017,55.919998,56.689999,55.830002,56.450001,8859900,55.891438
2/15/2017,56.290001,56.759998,56.209999,56.639999,6652000,56.079559
2/16/2017,56.880001,56.919998,56.099998,56.290001,8374200,55.733021
2/17/2017,56.119999,56.799999,55.860001,56.75,12638000,56.188465
2/21/2017,56.380001,57.450001,56.200001,57.360001,10955000,56.792431
2/22/2017,57.48,58.380001,57.360001,58.240002,10914100,57.663723
2/23/2017,58.110001,58.400002,57.27,57.389999,12316300,56.822136
2/24/2017,57.389999,58.419998,57.07,57.860001,9684500,57.287483
2/27/2017,57.650002,57.830002,57.349998,57.689999,4375700,57.119164
2/28/2017,57.369999,57.549999,56.860001,57.16,7951300,56.59441
3/1/2017,57.860001,58.029999,57.330002,57.950001,8558900,57.376595
3/2/2017,57.900002,58.25,57.650002,57.799999,6438400,57.406387
3/3/2017,57.799999,57.799999,56.509998,56.700001,9181600,56.313877
3/6/2017,56.700001,56.93,56.529999,56.77,6896800,56.383404
3/7/2017,56.709999,56.990002,56.02,56.549999,7124400,56.164902
3/8/2017,56.939999,56.939999,56.310001,56.509998,7604800,56.125172
3/9/2017,56.610001,56.66,56.09,56.360001,6165700,55.976196
3/10/2017,56.490002,56.990002,56.259998,56.43,8882400,56.045719
3/13/2017,56.43,56.82,56.110001,56.669998,7235900,56.284081
3/14/2017,56.869999,58.009998,56.720001,57.279999,9286900,56.889931
3/15/2017,57.630001,57.990002,56.75,57.66,10067500,57.267345
3/16/2017,57.43,57.720001,56.830002,57.599998,9895000,57.207748
3/17/2017,57.77,57.889999,57.310001,57.799999,10791500,57.406387
3/20/2017,58,58.810001,57.959999,58.68,13352500,58.280396
3/21/2017,58.779999,59,57.720001,58.009998,15269800,57.614956
3/22/2017,54.759998,55,53.759998,53.919998,37413400,53.552811
3/23/2017,54.610001,55.549999,54.52,55.369999,23848300,54.992935
3/24/2017,55.290001,56.639999,55.119999,56.360001,14438600,55.976196
3/27/2017,55.639999,56.25,55.540001,55.93,8663600,55.549122
3/28/2017,55.990002,56.779999,55.790001,56.619999,7823900,56.234425
3/29/2017,56.41,57.099998,56.349998,56.68,7456200,56.294014
3/30/2017,56.48,56.599998,55.810001,56.040001,7210500,55.658375
3/31/2017,56,56.029999,55.650002,55.73,5905600,55.350483
4/3/2017,55.740002,55.799999,55.150002,55.560001,7088800,55.181644
4/4/2017,55.150002,55.299999,54.830002,55.040001,8843300,54.665188
4/5/2017,54.970001,55.799999,54.5,54.98,7722100,54.605591
4/6/2017,55.07,55.939999,54.939999,55.139999,6692200,54.764503
